,LIC_1,LIC_3,LIC_31,LIC_35,LIC_37,LIF_22,LIF_24,LIF_26,LIF_28,LIF_30
Hmgb1-ps2,0.180172,0,0,0.199617,0.125517,0,0.489331,0.167983,0,0
Hmgb1-ps26,0.099753,0.077517,0.832045,0.224605,0.84474,0.673114,0.721052,0.525406,1.179001,0.308776
Hmgb1-ps28,0.546937,0.404443,0.997189,0.9789,1.223726,0.537098,0.747206,0.804363,0.777041,0.947757
Hmgb2,1.531708,2.889131,7.75097,3.748171,11.01521,11.830829,7.483031,10.619097,11.604024,7.404275
Hmgb2l1,1.18523,1.533191,2.314896,0.909603,1.559678,1.334529,1.055058,1.866202,1.780057,1.511561
Hmgb3,3.514185,4.699818,10.862277,10.506396,7.033741,10.365698,10.153028,11.897016,11.623476,7.215874
Hmgb4,0,0,0,0,0,0,0,0,0,0
Hmgcl,53.587608,51.66711,151.370468,132.221558,106.473656,175.016937,191.006317,148.075104,137.191711,113.319656
Hmgcll1,0,0.031421,0.217837,0,0.237038,0.138411,0.164904,0.20448,0.208415,0.161219
Hmgcr,114.192284,13.781064,45.62426,14.644418,14.919778,11.229329,10.060038,9.944119,20.052315,16.945513
Hmgcs1,979.780273,198.88092,935.314392,143.132721,240.338104,72.414879,150.927933,51.548607,61.847569,62.817478
Hmgcs2,528.026062,682.829041,1357.976196,1216.527222,1146.508179,1739.473755,1944.082764,1442.947876,1510.881226,1428.748657
Hmgn1,58.581253,75.334328,59.207806,86.054176,123.695328,110.955627,112.782349,126.274956,99.886391,127.201157
Hmgn2,34.250114,41.414513,61.087631,60.186085,55.753876,56.872967,71.056984,64.31926,66.791191,57.57674
Hmgn3,4.325054,1.961264,4.443023,4.562209,6.670545,4.910264,4.111129,3.204338,2.660959,3.027699
Hmgn5,5.022337,5.197417,9.708423,7.853923,10.703752,8.458464,7.664706,10.572842,9.21732,9.644027
Hmgxb3,5.1692,3.599056,5.365623,4.261692,8.956235,10.383175,8.978355,9.244837,8.533323,9.918007
Hmgxb4,0.814587,0.377576,1.786446,2.029456,1.723534,1.599816,2.722295,2.499368,2.486333,1.439621
Hmmr,0.076152,0.087782,0.154124,0,0.221389,0.28099,0.119597,0.173926,0.180852,0
Hmox1,14.305061,37.55439,34.290352,41.995041,38.338383,55.808922,31.877003,36.529865,38.310356,25.673544
Hmox2,24.437799,36.071033,38.838417,46.329437,32.908112,40.140083,35.092304,36.450302,52.556866,36.236305
Hmox2-ps1,0,0,0,0,0,0,0,0,0,0.000587
Hmx1,0,0,0,0,0,0,0,0,0,0.076391
Hmx2,0,0,0,0,0,0,0,0,0,0
Hmx3,0,0,0,0,0,0,0,0,0,0
Hnf1a,10.671587,10.913148,14.989903,12.607873,14.265295,19.403284,19.639938,17.38508,19.29808,11.245985
Hnf1b,6.738234,5.390625,12.382031,6.74062,8.743403,8.637923,10.891127,9.105059,8.832144,8.67729
Hnf4a,59.427975,68.955521,129.333038,135.209778,99.544907,179.771393,139.995667,98.962524,114.908607,81.264404
Hnf4g,0.376032,0.291157,1.36993,0.209339,0.663181,2.783148,2.101018,0.680906,1.097139,0.846357
Hnmt,0,0,0,0,0,0,0,0,0,0
Hnrnpa0,38.476318,40.692646,88.804802,89.285622,63.308823,123.936005,103.203377,80.604385,92.897232,61.358891
Hnrnpa1,29.858791,33.457806,40.936558,46.202404,53.22728,74.148727,70.372543,66.621429,71.58046,64.689766
Hnrnpa2b1,126.644562,136.055084,155.596069,182.92363,226.655502,229.671051,223.164093,251.154984,213.627213,215.386627
Hnrnpa3,40.345051,46.222469,61.471016,66.221191,69.14743,74.936432,79.423874,80.197838,72.676559,62.876419
Hnrnpab,147.848511,160.431396,324.003387,344.691406,326.394165,448.587738,377.024231,357.362366,350.273499,306.985168
Hnrnpc,38.433933,40.390133,48.504719,61.728363,48.524815,63.491901,71.888702,60.759193,53.515499,46.141163
Hnrnpd,33.393845,36.083237,38.045826,28.784201,55.34127,53.472141,53.248173,38.727455,49.156246,51.743492
Hnrnpdl,16.732882,17.835691,15.361383,18.170177,19.971836,30.560186,26.583611,22.040815,27.947783,18.613098
Hnrnpf,31.710688,30.893274,80.966042,76.284729,70.067192,110.538933,92.342972,76.554611,94.793961,71.278503
Hnrnph1,33.851627,28.033272,24.151148,34.610867,44.746857,52.660225,43.166126,50.183704,44.179123,43.456448
Hnrnph2,21.045736,21.75107,36.297554,32.763367,32.157001,36.351475,30.704231,25.531084,30.349764,28.472589
Hnrnph3,9.205985,7.485364,6.47429,9.010365,14.631684,14.164274,20.740686,17.799124,13.954167,16.091127
Hnrnpk,53.530785,57.491123,106.640945,92.812141,68.696236,139.902832,96.917702,86.519615,90.446106,75.395454
Hnrnpk-ps1,0.324439,0.216769,0.573954,1.151775,0.512601,1.007498,0.587203,0.319479,0.665736,0.783933
