,LIC_1,LIC_3,LIC_31,LIC_35,LIC_37,LIF_22,LIF_24,LIF_26,LIF_28,LIF_30
1700012A03Rikl,0,0,0,0,0,0,0,0,0,0
1700013D24Rik,0,0,0,0,0,0,0,0,0,0
2510039O18Rikl,6.197819,8.94715,19.991152,20.512016,11.446624,27.93582,15.818286,14.033731,22.590244,10.869896
6430548M08Rikl,1.591782,1.251706,2.853965,2.5225,3.313119,4.749399,3.55564,2.945551,3.215067,3.005497
A1bg,2.523542,1.985244995,1230.845215,1170.554688,777.931885,1565.526611,1354.332275,237.062973,679.713684,22.775993
A1cf,2.508971,1.166767,10.489132,1.486878,4.558128,19.599768,12.92135,7.575715,10.590769,6.432245
A2m,0.341502,0.32764,0.533591,0.185588,0.071182,0.462705,0.064301,0,0.236832,0.246337
A2ml1,0.086741,1.627096,0.317925,0.69802,0.205229,1.303929,1.058569,0.183099,0.116056,0.875149
A3galt2,0.066635,0.201496,0.425381,0.221666,0,0.483624,0.363452,0.323029,0.592428,0.508109
A4galt,0,0,0.076257,0,0,0,0,0,0,0
A4gnt,0,0,0,0,0,0,0,0,0,0
AA926063,1.338606,4.054465,1.408088,3.95313,0.79667,0.550807,0.616692,0.702177,0.704404,0.889541
Aaas,2.701608,2.999208,4.640701,2.453647,5.122848,4.127499,6.918747,3.736357,3.672142,4.553162
AABR07058254.1,0,0,0,0,0,0,0,0,0,0
Aacs,18.330273,6.650891,28.131855,4.432852,2.662303,2.131278,2.864347,0.999813,1.714243,1.444573
Aadac,52.709877,73.018883,100.296707,69.646904,51.686016,76.039047,50.228584,41.101803,41.508904,39.202335
Aadacl2,0,0,0,0,0,0,0,0,0,0
Aadacl2fm2,0,0,0,0,0,0,0,0,0,0
Aadacl2fm3,0,0,0,0,0,0,0,0,0,0
Aadacl3,0,0,0,0,0,0,0,0,0,0
Aadacl4,0,0,0,0,0,0,0,0,0,0
Aadacl4fm2,0,0,0,0,0,0,0,0,0,0
AAdacl4fm3,0,0,0,0,0,0,0,0,0,0
Aadat,134.481308,116.889519,172.647675,123.848846,101.467529,162.183426,136.195984,135.803162,123.976006,110.11129
Aagab,4.582332,4.852104,9.645612,7.745169,8.116291,11.320551,11.177926,8.463885,8.238239,6.975586
Aak1,0.780321,0.793314,1.404599,1.121736,1.593871,3.074625,2.087372,1.981302,1.812781,2.097331
Aamdc,36.370953,72.006683,29.1555,37.932228,33.928658,19.567841,22.469515,30.463638,26.095459,38.001163
Aamp,37.800243,63.264553,86.738144,106.632011,70.919189,109.290977,86.506523,77.58567,89.191719,93.909248
Aanat,0,0,0,0,0,0,0,0,0,0
Aar2,2.633024,2.861253,9.126759,5.190671,4.17055,7.428164,6.751803,5.577474,7.90598,5.441182
Aard,0,0,0,0,0,0,0.576296,0,0.486102,0.099493
Aars1,32.382648,54.235443,92.248955,85.210922,53.600258,116.974731,79.354996,56.996632,64.497002,44.47802
Aars2,1.673732,1.442668,6.67872,2.846914,3.120168,9.905552,4.917505,4.099301,4.854983,4.551022
Aarsd1,8.203167,6.130776,5.050314,8.197156,12.50574,10.458927,8.072929,9.659164,12.051892,12.138201
Aasdh,2.594422,1.303969,1.024539,1.653475,3.320338,4.042766,5.231188,5.400488,3.478798,6.258968
Aasdhppt,23.058676,24.197304,42.759609,42.66637,23.519108,33.252563,32.778816,25.414349,33.458096,27.459364
Aass,16.269258,6.336788,31.970602,14.259681,3.883713,34.538116,24.201464,33.063084,23.731302,13.365488
Aatf,3.10516,2.968045,6.212676,7.274632,3.150589,8.214016,6.468676,4.950928,4.661602,3.171666
Aatk,0.237356,0.154667,0.412987,0.222725,0.461657,0.422474,0.549028,0.756949,0.402919,0.655831
Abat,25.672955,23.14134,54.045631,27.506279,23.709757,48.405651,39.192509,33.05423,45.914551,38.009907
Abca1,6.08716,4.732712,11.635778,8.69605,6.458449,13.867121,8.540726,9.042412,10.567976,8.388604
Abca12,0,0,0,0,0,0,0,0,0,0
Abca13,0,0,0,0,0,0.018899,0,0,0.009437,0.009019
Abca14,0,0,0,0,0,0,0,0,0,0
Abca15,0,0,0,0,0,0,0,0,0,0
Abca16,0.240885,0.419999,0.335155,0.176119,0.045019,0.526677,0.467753,0.046963,0.324095,0.329312
Abca17,0.217944,0.110605,0,0.041032,0.394509,0.211066,0,0.090693,0.127636,0.137658
Abca2,4.563872,2.909435,6.824033,2.502452,7.001436,9.236906,7.681444,6.983756,6.771863,6.862417
Abca3,3.366133,8.382176,11.513262,5.078146,4.504439,15.255601,11.453332,11.051035,8.166395,6.808394
Abca4,0.266973,0.403635,0.481221,0.451349,0.957102,0.582515,0.78628,0.972593,1.626817,1.007328
Abca5,0,0.013695,0.16621,0.049642,0,0.471144,0,0.11807,0.128386,0
Abca6,13.642575,6.28137,27.124804,14.392318,11.265778,35.923073,24.103064,22.088167,20.897867,13.963709
Abca7,0.250067,0.413729,0.433386,0.33022,0.921534,0.993219,0.840752,0.916045,0.946521,1.208405
Abca8,4.638762,1.004383,3.721996,2.246335,3.140195,2.202597,3.289133,3.353525,3.66289,2.807367
Abca8a,22.087221,18.64913,26.176905,21.501549,29.749653,37.648357,36.085438,30.759172,35.808289,28.95751
Abca9,2.362753,1.030907,0.563388,0.906128,2.483706,4.086309,2.315697,5.49866,2.384486,2.952905
Abcb10,1.296582,0.9193,5.263468,1.881349,2.277977,7.001141,3.747787,3.0099,3.917362,3.065542
Abcb11,84.193489,50.951649,158.17244,88.75145,57.529491,143.260773,133.635681,97.466858,92.120148,62.374428
Abcb1a,12.327113,7.302951,12.936853,7.673974,8.019145,14.053055,13.694328,10.445062,14.004388,10.186851
Abcb1b,1.290879,0.889242,0.961936,1.544302,2.698212,3.685786,3.877341,9.846653,2.389176,1.400677
Abcb4,25.290812,11.908807,53.52784,28.861912,48.772018,83.157471,82.388245,57.294727,49.336746,22.437822
Abcb5,0,0,0,0,0,0,0,0,0,0
Abcb6,24.500835,24.699871,24.969234,17.324038,23.050793,35.5765,25.617258,32.626858,31.093506,35.576546
Abcb7,0.580951,1.163052,7.061185,2.868812,2.420747,8.089122,4.675895,2.134511,3.331883,1.811487
Abcb8,3.723448,3.543834,10.338589,10.043987,8.788707,13.589682,11.10743,8.411078,10.9854,9.432837
Abcb9,0.042885,0.248362,0.059741,0.191713,0.512553,0.761403,1.091939,0.165907,0.083355,0.087753
Abcc1,0.611713,0.21961,0.515808,0.407552,1.474885,1.127234,1.229011,0.616595,1.502187,1.250333
Abcc10,2.099946,1.703774,1.123818,1.499897,4.439378,5.021622,5.167332,3.526138,3.339664,4.205235
Abcc12,0,0,0,0,0,0,0,0,0,0
Abcc1-ps1,0.018219,0,0,0,0.019547,0.032357,0,0.051971,0,0.026531
Abcc2,21.936256,53.847839,146.627487,73.9478,48.687496,150.754456,88.998817,52.64283,89.179276,39.224648
Abcc3,19.98242,1.188182,4.601372,2.42413,5.974697,6.657016,7.755208,8.905334,11.122731,10.009652
Abcc4,1.925103,0.609794,1.519444,1.020101,1.1261,1.265388,1.719278,1.025949,1.440932,0.927039
Abcc5,3.704604,1.621387,0.766892,0.970986,12.005234,7.603038,9.390232,10.705128,5.963491,13.703614
Abcc6,69.906395,49.728329,36.950802,32.497826,166.142914,148.317337,154.912201,150.75325,114.282959,190.797577
Abcc8,4.060506,2.483932,0.876731,3.516119,4.406294,0.908745,3.631518,1.394062,2.087379,1.240874
Abcc9,1.759336,0.742006,1.519206,2.027176,1.665159,2.304861,1.624438,2.533412,3.543241,2.812203
Abcd1,4.735313,3.60079,18.857931,11.934196,12.298285,23.445112,15.582571,16.307926,16.923023,13.367785
Abcd2,0.935782,1.593024,3.917277,1.388896,2.313836,0.532112,1.054771,1.734404,1.282843,0.319529
Abcd3,96.122673,68.569832,115.892044,115.222519,95.070587,106.797264,154.391693,138.187119,154.406219,124.371231
Abcd4,2.982923,2.260963,2.915115,2.508212,4.211972,5.515093,5.652867,6.199224,4.42653,4.908656
Abce1,11.539391,10.247617,21.620638,14.242273,15.706024,29.910826,18.918438,15.880105,21.12355,15.691522
Abcf1,9.741564,9.379529,19.676825,16.322458,14.261843,30.308598,19.458841,19.352551,19.941967,16.959553
Abcf2,14.920688,12.12009,18.734013,20.112181,20.595375,30.922499,24.530882,21.584593,24.519625,20.348709
Abcf3,19.342096,20.939848,21.469051,29.731779,26.485325,38.757309,28.385607,30.474968,30.359325,33.764408
Abcg1,0.728291,1.265974,2.203297,3.847266,3.489095,6.327288,3.166544,5.107354,5.86127,2.754708
Abcg2,3.143807,3.664356,3.269121,4.599196,3.093579,3.534834,2.093836,0.744097,7.292708,2.402643
Abcg3,44.989594,27.603148,30.692837,40.342209,50.946949,60.386734,61.65382,51.397045,48.888229,52.843346
Abcg3l1,0.421991,0.670914,0.892547,0.79008,2.719476,1.49309,1.643464,1.311098,1.535719,2.274075
Abcg3l2,8.374903,10.464371,5.730901,10.076874,18.428022,14.394115,17.756727,17.447159,15.738134,15.531176
Abcg3l3,1.872838,1.331133,1.947864,0.424272,2.498225,4.400496,2.429707,2.611923,2.078907,3.731784
Abcg3l4,26.158482,24.006182,9.324297,16.530325,42.659538,54.667683,56.159992,50.299061,43.005241,34.377682
Abcg4,0.297341,0.263769,0.17327,0.344268,0.192926,0.285378,0.447592,0.388254,0.451441,0.379086
Abcg5,33.163292,7.653542,21.991655,16.48057,15.320362,21.418098,24.911671,17.039383,16.644369,33.833553
Abcg8,15.012223,1.388101,8.319942,2.01119,3.131714,4.207974,11.481172,4.632194,3.355154,12.924708
Abhd1,49.034821,62.93375,61.098759,50.086571,96.352448,87.913841,123.147156,116.650024,80.521118,103.180138
Abhd10,0.91669,1.018478,2.00811,1.7373,1.704201,2.70999,3.212504,2.388296,2.111997,1.770494
Abhd11,12.361595,13.217234,11.76909,13.059916,16.372675,16.197632,12.739421,18.767342,16.014126,25.458366
Abhd11-as1,1.894998,0.328072,0.245756,0.856565,1.188898,0.167387,0,0,1.082048,0.350498
Abhd12,9.427749,11.423399,13.324182,14.544819,13.800319,21.054211,15.491531,17.659887,17.785528,12.143403
Abhd12b,0,0,0,0,0,0,0,0,0,0
Abhd13,4.9533,5.215502,7.973195,7.150785,5.601452,8.16785,7.530297,5.706317,10.668449,6.302974
Abhd14a,9.508098,6.211814,6.014353,9.902248,13.790574,9.742865,14.279198,13.508583,16.922361,8.19609
Abhd14b,207.402908,173.853516,329.136047,307.720032,304.989929,358.705841,384.959076,370.640442,429.736267,322.214722
Abhd15,3.670982,3.53854,4.674591,1.833134,1.847433,8.851326,6.399372,4.160358,10.033448,5.548921
Abhd16a,17.457064,9.923402,14.532203,14.826468,26.335894,26.566013,27.920305,30.300676,33.936539,29.834824
Abhd16b,0,0,0,0,0,0.380348,0,0.237022,0,0
Abhd17a,64.48246,55.794662,97.032921,99.192329,81.916748,129.534897,117.579155,112.925941,113.365555,100.72319
Abhd17b,8.356232,8.814961,12.732689,10.57531,11.147603,10.70372,11.118037,8.646011,11.162122,9.035327
Abhd17c,21.107359,27.388933,42.80714,37.186359,30.395462,55.305588,49.646297,31.904381,35.919407,29.440504
Abhd18,2.1595,2.579575,5.592169,1.281536,2.475528,5.102939,4.487536,3.461639,2.623902,3.072574
Abhd2,4.414398,66.391426,112.442192,73.672562,72.029724,183.643753,104.894417,60.610836,84.584969,53.735348
Abhd3,0.03885,0,13.965403,0.140025,9.318155,11.556896,18.92996,7.074945,0,4.849735
Abhd4,9.096016,11.577793,26.449142,18.6064,16.713156,29.901701,25.687439,20.273502,22.545692,20.159067
Abhd5,9.589478,11.652069,27.385765,22.05369,12.834912,23.353117,26.067247,21.268757,26.614792,11.038028
Abhd6,27.936522,14.767889,26.640345,26.949169,28.172705,29.413124,30.946253,39.914566,35.844635,32.570686
Abhd8,1.892319,1.173817,1.232206,1.398304,1.857547,4.367707,3.896008,2.712491,3.076459,1.693737
Abi1,10.292385,5.866717,13.142631,10.976448,13.078384,17.503,14.404253,13.846804,12.44213,10.552672
Abi2,0.75944,0.303026,0.943316,0.911552,0.947892,1.982893,1.700229,0.948978,1.378163,0.728167
Abi3,3.901839,6.434335,8.232488,12.398111,8.977965,15.12446,8.479397,12.205157,8.714158,7.631715
Abi3bp,0.897616,0.891045,1.459255,1.144753,2.109257,2.507331,1.279642,1.951665,2.938553,1.482282
Abitram,1.000342,1.003504,2.35812,1.193761,2.36439,3.545118,3.178571,2.325067,2.457846,2.038448
Abl1,5.260118,1.425481,4.577341,3.315895,7.437894,8.212069,6.01972,4.792837,5.885393,6.297441
Abl2,0.30751,0.226689,0.476988,0.342947,0.883536,1.988354,1.679636,1.195485,0.97679,0.616221
Ablim1,2.226885,1.36024,2.881974,1.423011,4.397235,4.92139,5.754999,4.976809,5.998922,4.731532
Ablim2,0.190816,0.203345,0.495935,0.339613,0.494912,1.154103,0.356172,0.458782,0.6532,0.678554
Ablim3,10.981639,6.693152,6.212569,11.773786,15.295499,16.222919,23.432835,19.571213,24.220976,20.29878
Abo,0.328225,0.432783,0.099384,0.181463,0.746052,1.155666,0.38857,0.832027,0.991174,0.567843
Abo2,0,0,0,0,0,0,0,0,0,0
Abo3,0,0,0,0.078232,0.069958,0,0,0,0,0.06585
Abr,0.570959,0.496861,0.75776,0.698353,2.05632,2.614533,1.598251,1.979875,1.681812,1.83668
Abra,0.198658,0.1916,0,0,0,0,0,0,0,0
Abracl,16.282219,28.034307,27.81859,36.576427,37.225899,20.431709,27.926422,28.64081,24.677307,20.312334
Abraxas1,4.941823,1.808656,3.91133,3.35581,4.038481,4.253587,7.803641,4.199205,5.391259,5.014198
Abraxas2,6.189254,4.451802,12.304987,10.148421,7.323515,14.856637,12.762558,9.843863,13.338538,7.761569
Abt1,10.547278,10.683749,13.286003,14.203054,12.574742,13.259068,14.918197,9.626624,16.724106,10.736176
Abtb1,24.684677,17.516403,27.726389,23.148251,26.520014,24.547327,30.880291,24.888918,30.116137,26.352819
Abtb2,3.89888,3.896966,11.286189,8.424843,6.328192,25.999847,12.860666,8.045369,9.643474,8.028111
Abtb3,1.030258,0.560609,2.045148,1.223089,1.213063,2.561487,1.941728,1.689409,1.793466,0.666624
Acaa1a,294.717773,370.917297,492.548767,375.164612,441.874573,466.689301,472.112183,544.067322,598.916809,586.560669
Acaa1b,232.367691,41.303581,71.378174,66.873085,102.042511,90.891182,293.328735,342.232117,278.991608,186.79187
Acaa2,286.110962,162.559998,334.694427,521.655396,402.299011,588.886108,841.942688,845.035583,705.711609,999.638794
Acaca,5.784503,6.986063,11.157764,6.904936,4.953149,5.779293,4.977786,3.759056,5.58005,5.164992
Acacb,10.320604,12.930401,16.661221,6.18312,9.641096,9.794676,8.623443,7.595767,7.583086,10.757262
Acad10,22.912218,21.527668,50.293694,50.091541,40.514915,60.750683,71.553864,50.908138,62.254673,47.475357
Acad11,61.0784,43.912373,111.955162,79.759163,90.142357,130.936356,140.597366,120.766312,140.139252,124.370491
Acad8,13.533535,16.120777,28.004082,17.496937,19.658285,32.263439,19.498962,14.740589,18.862329,17.857998
Acad9,8.090384,10.124255,27.313198,14.997896,10.004039,23.693008,16.630037,13.999838,16.098318,13.743163
Acadl,167.780106,214.621353,385.72879,372.64563,376.036682,441.017242,507.67926,430.184875,491.556671,459.646484
Acadm,166.711243,204.763031,441.708313,478.5495,405.787933,525.387817,589.394958,517.287659,524.931763,425.825775
Acads,73.635521,88.362129,154.471939,157.167511,122.673721,167.756271,176.455627,161.282227,189.894638,149.939819
Acadsb,2.592373,0.382662,33.245926,6.874797,7.675481,43.197281,23.154701,15.46751,19.046494,7.020531
Acadvl,169.475525,248.238083,259.191101,220.390762,239.534729,277.431091,280.580444,271.613556,227.932281,253.572678
Acan,0,0,0,0.017919,0,0,0,0,0,0
Acap1,2.115275,0.65403,1.004855,1.293711,3.946093,1.643875,3.105847,2.863239,3.269778,4.527644
Acap2,1.104787,0.541919,2.528852,1.909326,2.431993,5.131371,3.854491,2.127404,3.157076,1.654239
Acap3,5.412493,2.915995,2.736681,4.811897,9.25337,8.098614,7.733572,8.713722,7.183484,10.657219
Acat1,65.230637,66.183777,123.147545,90.557472,97.146088,123.11367,158.262009,127.556557,117.041344,134.929169
Acat2,102.17662,28.280895,129.272476,22.93519,17.416506,6.249613,19.901567,3.983395,6.984097,6.969327
Acat2l1,2.654131,1.632067,8.525927,5.572947,4.126035,6.717561,8.435452,6.253614,10.692216,6.67135
Acbd3,5.133064,4.513297,9.918737,6.821981,8.517725,12.831535,12.03884,8.851223,10.824604,8.314986
Acbd4,13.301218,21.895142,38.834019,20.869595,22.779345,23.531868,38.838921,40.255901,40.938931,29.465523
Acbd5,18.731417,11.26287,32.329884,18.191071,15.888459,26.571251,23.9835,19.82987,22.612783,15.603526
Acbd6,15.60985,25.824453,19.495537,25.382301,23.297802,24.755863,28.928089,27.607342,26.647659,28.844707
Acbd7,0,0,0,0,0,0,0,0,0,0
Accs,1.885973,3.16551,3.397364,4.328999,3.669285,4.620514,4.622222,3.414121,2.361512,6.791078
Accsl,0,0,0,0,0.05049,0,0,0,0,0
Acd,12.902495,10.312597,16.417461,13.296096,21.593323,20.454126,19.150536,19.626192,22.280895,20.130312
Ace,0.122974,0.147394,0,0.231914,0.432602,0.207693,0.544394,0.480499,0.338058,0.444309
Ace2,0.141488,0.102114,0.21543,0.31876,0.148478,0.098066,0,0.030381,0.248178,0.035279
Ace3,0,0.03362,0,0,0,0,0,0,0,0.033925
Acer1,0,0,0,0,0,0,0,0,0,0
Acer2,5.085323,2.858495,2.315147,5.681949,5.506376,4.322955,5.058954,7.415041,5.909234,6.048003
Acer3,2.537571,2.236468,3.390922,2.702956,3.008567,4.120586,2.293587,2.932594,3.138541,1.934713
Ache,4.584985,3.154279,1.964671,2.021492,5.748848,5.124266,4.931848,3.645324,5.094544,5.212296
Acin1,26.329082,10.718719,11.874753,21.897688,24.749035,29.769812,35.096798,43.350994,26.533197,26.950893
Ackr1,0.539244,0.430678,0.106383,0.471019,2.328381,0,0.391132,0.556914,1.116837,0.239058
Ackr2,0.34394,0.299062,0.674418,0.881099,1.140334,0.774618,1.42869,1.134434,1.277957,0.365078
Ackr3,0.958335,1.148676,2.009125,2.414351,2.324747,3.069009,3.964021,0.387832,4.192461,1.574346
Ackr4,2.85531,4.197482,4.576671,5.871271,13.708954,4.822918,14.414768,9.633243,13.885366,6.295716
Acly,56.84082,57.841434,87.190514,41.228188,26.563887,23.43342,23.520243,15.628364,22.625294,19.977371
Acmsd,4.893375,3.839899,7.97368,4.160758,3.644184,7.822182,4.169293,7.817928,3.100602,1.51653
Acnat1,0.10263,0,0,0.689111,0.598615,2.187695,0.513933,0.981658,0.217876,0.564872
Acnat2,1.170828,1.918215,2.161958,10.483171,12.903214,20.022856,7.691223,9.993,3.096087,7.530335
Aco1,37.133877,29.825552,67.774467,48.094276,52.673195,75.150887,73.582817,64.281319,76.702431,51.401058
Aco2,38.027321,27.685514,40.481644,34.246586,39.440601,56.994019,56.545662,49.303768,59.773739,66.370934
Acod1,0,0.020869,0,0.025748,0.054873,0.201067,0,0,0,0
Acot1,0.613176,0.06031,1.444895,0.688841,3.711974,13.899493,46.991844,52.490738,14.315544,33.917423
Acot11,0,0.04658,0.079179,0.140926,0.230281,0.082266,0.299666,0,0.21005,0.356355
Acot12,11.740475,4.95504,31.879108,17.324293,22.053986,61.123203,36.555008,30.624615,55.119427,39.505276
Acot13,22.584644,30.659067,20.001768,13.154632,17.14842,13.671263,10.520103,19.845165,15.265027,22.304543
Acot2,13.394446,11.073494,23.803755,13.772653,31.691902,60.098125,120.120399,80.808578,77.287666,58.836948
Acot3,8.32147,7.609155,10.424404,7.352217,18.685329,37.196499,41.11507,36.320381,32.538593,37.860672
Acot4,20.955135,13.399354,26.560118,22.369711,32.127651,62.331402,70.240974,79.17527,58.082558,54.073975
Acot5,11.354848,36.817444,37.065147,19.653996,22.010349,70.773476,80.123871,38.587502,54.224373,41.95882
Acot5-ps1,0.140681,0.456658,0.238882,0.879063,0.504677,0.55544,1.521507,0.226689,0.539829,0.11362
Acot6,0.322787,0.162744,0.260551,0.334059,0.502171,0.261525,0.5704,0.292002,0.638001,0.279727
Acot7,22.701477,16.084919,25.099869,31.945543,29.83172,43.538284,51.614357,48.898975,57.496704,43.134529
Acot8,21.019287,26.29063,18.303919,21.959036,17.739269,23.212364,25.816664,29.480274,26.390026,30.52412
Acot9,1.232895,0.884254,1.187551,1.382335,3.30687,3.461583,3.059934,1.502644,1.357686,2.121503
Acox1,138.093567,72.108337,190.088608,136.36116,139.159225,317.802094,272.254364,256.210449,288.799652,225.852036
Acox2,110.794098,72.686401,292.865723,189.161804,202.412933,278.83371,270.670197,313.640442,283.36026,269.51532
Acox3,52.798492,56.968227,121.766716,106.386124,95.116592,178.249985,152.509155,104.679924,134.695801,101.743652
Acoxl,0.041785,0.033038,0.028365,0,0.023346,0,0,0,0,0.000856
Acp1,43.752609,45.363178,67.268326,70.155899,48.599049,69.593414,75.890556,62.034191,66.500931,52.045853
Acp2,33.555897,29.209238,68.027573,41.96167,33.454105,54.694412,44.080482,46.317265,52.346447,44.601242
Acp3,0.153673,0.57945,3.923829,1.62497,0.787053,6.077356,3.605934,1.317466,1.037517,1.14359
Acp4,3.667839,1.235824,0.53256,0.397116,1.622819,1.324398,1.96695,0.944666,1.737414,2.552653
Acp5,6.47269,10.993464,7.463183,22.303911,18.81164,16.790071,14.284727,24.554117,24.484459,20.113878
Acp6,14.262296,17.488365,20.027227,20.178055,21.690804,27.203112,25.899458,21.812702,26.180803,22.714609
Acp7,0,0,0,0,0,0,0,0,0,0
Acr,0,0,0,0,0.018738,0,0,0.067443,0,0.112958
Acrbp,3.823715,3.159212,0,0.407657,4.551013,2.638552,2.728094,2.361549,1.134028,4.162042
Acrv1,0,0,0,0,0,0,0,0,0,0
Acsbg1,0.38026,0.537954,0.430378,0.498127,0.512492,0.911246,0.714442,0.272951,0.917106,0.36206
Acsbg2,0,0,0,0,0,0,0,0,0,0
Acsbg3,0.045132,0,0,0,0,0,0,0,0.039919,0
Acsf2,21.110826,16.507296,49.431843,24.020184,24.550259,37.048969,35.820557,36.727749,32.806206,25.060867
Acsf3,7.356445,10.800716,16.196321,11.221033,12.022578,25.164333,19.622982,11.718499,15.779002,15.050526
Acsl1,381.728973,357.475006,866.414795,551.985962,426.395447,810.074219,790.910767,544.79187,759.802551,484.893463
Acsl3,7.218327,3.367437,11.827712,3.780816,3.339945,4.299948,5.648881,2.935877,2.219571,2.648654
Acsl4,47.79982,46.087578,99.065689,54.50565,45.309708,90.295807,84.143761,75.290268,76.781235,48.730263
Acsl5,95.565979,151.22554,233.139023,187.309708,101.665138,163.852951,151.473495,173.334625,198.532013,141.409454
Acsl6,0.047323,0,0,0,0,0,0,0,0,0
Acsm1,129.332214,133.000031,371.52774,253.566315,192.834351,366.999207,310.335968,241.862457,298.694092,237.896515
Acsm2,36.093994,23.536039,49.826591,42.960648,31.690697,25.444578,29.182678,39.937759,36.500534,30.533249
Acsm3,7.550855,3.336913,8.779708,2.038133,3.785014,10.884375,8.620114,25.823891,8.425903,10.786921
Acsm4,0,0,0.056279,0,0,0,0,0.125253,0,0
Acsm5,26.410868,24.043234,69.580597,25.392721,28.996162,34.672276,46.679367,55.838951,36.616543,39.668083
Acss1,0.902299,0.355449,0.482793,0.551864,1.345259,1.267929,0.73783,1.27967,1.165014,0.962073
Acss2,84.885521,27.55615,92.348885,24.728401,16.746084,15.411311,16.175619,12.189935,17.022165,13.129704
Acss3,22.407595,40.97588,77.181427,43.01231,42.261372,64.110207,57.835396,37.785862,39.340611,27.73031
Acta1,134.490509,1.961997,0,0,0,0,0,0.207281,0,0
Acta2,6.38615,1.09187,4.189815,4.8132,16.963276,2.3313,13.903905,5.555569,20.333015,8.221394
Actb,461.31662,595.918579,595.138611,717.00293,867.016785,1044.029053,819.309326,782.319885,753.641663,675.489075
Actbl2,0,0,0,0,0,0,0,0,0,0
Actc1,14.500742,0.445673,0,0.169263,0,0,0.205942,0,0,0
Actg1,46.489685,46.860519,167.534058,102.151649,121.946358,278.144318,344.73587,222.319443,222.044891,140.135712
Actg2,2.455439,0.496451,0.307123,0.663342,2.552276,0,1.395638,1.338723,4.486089,0.684118
Actl10,0.415416,0,0.294265,0,0.243703,0,0,0,0.039412,0.196281
Actl11,0,0,0,0,0,0,0,0,0,0
Actl6a,4.828703,4.763077,9.106216,10.234991,8.2016,17.551487,13.164862,12.421753,11.323872,9.722079
Actl6b,0,0.079782,0,0,0.355444,0,0.556908,0.703637,0.082617,0
Actl7a,0.195949,0,0.095505,0.049412,0.008851,0.106378,0.311633,0.399923,0,0.293083
Actl7b,0.31323,0.458308,0,0.086072,0.362993,1.278529,0.299877,0.876266,0.369242,0.584418
Actl9,0,0,0,0,0,0,0,0,0,0
Actl9b,0,0,0,0,0,0,0,0,0,0
Actmap,4.915788,3.763225,3.346262,4.95049,4.885039,6.151424,8.860557,5.039794,7.034878,5.402639
Actn1,3.469839,2.064146,6.958367,9.013029,6.91909,16.172911,10.164409,8.932484,10.607981,6.850961
Actn2,3.635144,1.065389,0.824855,0.162022,0.997266,0.639809,0.304425,0.496391,0.82451,0.310899
Actn3,4.240214,0.20269,0,0.159661,0.233168,0,0.207247,0,0,0.158068
Actn4,58.253002,71.843582,101.270302,85.030235,99.784492,116.95134,106.888855,96.415939,106.233826,87.88028
Actr10,19.994696,23.660294,26.516027,30.236902,22.826164,35.238857,24.815027,25.626694,23.583067,20.573692
Actr1a,9.545946,11.782138,12.952003,17.276836,16.279663,20.055511,18.093145,18.881098,18.186171,16.591099
Actr1b,14.201312,21.849377,30.366703,25.621054,26.002956,37.598816,32.819908,23.879114,30.80097,20.473228
Actr2,16.012991,12.505054,43.710987,31.106905,29.189837,49.639137,36.066441,28.799429,34.090595,22.279716
Actr3,13.189095,9.440169,36.295872,28.708569,27.287748,47.545006,34.104351,29.042978,33.83736,22.908905
Actr3b,0.35753,0.51277,0.569169,0.559021,0.802703,0.560782,1.403458,0.387754,0.70976,1.365062
Actr5,3.405895,4.559794,3.739929,3.451215,4.127853,6.454354,5.882619,2.992244,5.508321,4.331061
Actr6,2.429435,1.316778,4.152943,3.306096,2.234241,5.412143,2.979945,3.274885,2.503642,3.127965
Actr8,5.246207,5.963905,6.535551,7.713388,7.971466,9.064158,10.368623,8.539347,11.806738,9.644898
Actrt1,0,0,0,0,0,0,0,0,0,0
Actrt2,0,0,0,0,0,0,0,0,0,0
Actrt3,0.09616,0.058274,0,0.179099,0,0,0,0,0,0.162229
Acvr1,2.797753,3.158797,8.228099,3.963576,3.079922,9.489285,4.385931,3.116311,6.187844,3.893916
Acvr1b,1.924735,1.272495,2.837376,1.952527,2.610917,4.317427,2.761858,3.039401,3.582596,2.6226
Acvr1c,0.652532,0.518584,1.664996,1.129113,0.877409,1.81592,1.34813,1.249094,1.5199,0.624729
Acvr2a,5.667874,4.799608,9.78868,8.800202,8.300189,13.629881,9.33912,6.922912,9.053255,6.4605
Acvr2b,0.496651,0.299522,0.754265,0.296738,0.209556,0.71769,1.038489,0.628241,0.489952,0.275199
Acvrl1,1.641798,1.095353,1.14202,1.316728,3.324701,3.124738,2.565204,3.697643,4.308098,3.827801
Acy1,52.31134,68.854553,66.855927,68.555832,69.164803,65.349007,68.080368,102.487312,100.76091,95.281952
Acy3,6.035869,5.649078,26.429787,9.91829,9.067967,29.953556,28.462982,24.128563,17.247887,10.217991
Acyp1,7.537232,10.049194,8.982964,8.402136,8.595184,5.885638,3.809591,8.576602,5.929437,7.640745
Acyp2,4.739804,4.817883,6.419197,4.872701,7.259619,3.827995,1.850023,6.314755,4.892859,4.353845
Ada,0.984907,3.360193,2.377639,3.190304,3.939542,4.944365,4.136355,4.251392,3.889739,3.660976
Adad1,0,0,0,0,0,0,0,0,0,0
